10000,-1314.452497776185
20000,-1069.2709402821617
30000,-870.1796891417448
40000,-705.9935927690416
50000,-569.2226473851002
60000,-469.82682650473237
70000,-406.47605574417213
80000,-374.1396973443671
90000,-345.8873975119932
100000,-315.70257320684146
110000,-296.36278186046064
120000,-288.3692053944917
130000,-267.7599595031244
140000,-268.74304810078775
150000,-262.44022753056
160000,-249.72302195320097
170000,-235.33218607807808
180000,-230.86214436782208
190000,-221.7545192956869
200000,-209.8594845390927
210000,-204.06770244177625
220000,-198.16528780001116
230000,-184.65599603660277
240000,-181.083983987463
250000,-173.63775117361055
260000,-164.64388801352115
270000,-166.61314534304967
280000,-155.3053226930122
290000,-204.63585351716827
300000,-191.4222431784317
310000,-190.38624167741378
320000,-185.6942189803767
330000,-176.58867571324095
340000,-168.00552595588337
350000,-160.93935258456744
360000,-157.97500896015646
370000,-152.60143179165036
380000,-144.85349748358425
390000,-144.14602338382795
400000,-136.63616391691312
410000,-139.85363365069517
420000,-131.27714143965525
430000,-130.1299008388086
440000,-134.13775372412786
450000,-130.38590213861383
460000,-127.29441422118298
470000,-125.77104309194274

