10000,-6103.409748733573
10000,-6065.416518632516
10000,-271.8632511136159
10000,-11.296791991444813
20000,-11.905548277226584
30000,-11.543688003062806
40000,-11.645166650359291
50000,-11.430093395466827
60000,-11.368019509803270000,-10.898068087196808
80000,-11.255279543432025
90000,-11.371908466546788
100000,-11.3921368254143
110000,-11.310991264034653
120000,-11.392986269249581
130000,-11.006677928724379
140000,-11.14210135885607
10000,-10.035091225738416
20000,-10.996121458974157
30000,-10.51224173626531
40000,-10.125553876797758
50000,-11.257194334648439
60000,-9.9277441050857
70000,-10.140822174378151
80000,-11.26564394750336
90000,-10.443603906673763
100000,-10.546835139678466
